Pokemon	hp	atk	def	spa	spd	spe
Chesnaught	88	107	122	74	75	64
Fennekin	40	45	40	62	60	60
Braixen	59	59	58	90	70	73
Delphox	75	69	72	114	100	104
Froakie	41	56	40	62	44	71
Frogadier	54	63	52	83	56	97
Greninja	72	95	67	103	71	122
Greninja (Ash-Greninja)	72	145	67	153	71	132
Bunnelby	38	36	38	32	36	57
Diggersby	85	56	77	50	77	78
Fletchling	45	50	43	40	38	62
Fletchinder	62	73	55	56	52	84
Talonflame	78	81	71	74	69	126
Scatterbug	38	35	40	27	25	35
Spewpa	45	22	60	27	30	29
Vivillon	80	52	50	90	50	89
Litleo	62	50	58	73	54	72
Pyroar	86	68	72	109	66	106
Flabébé	44	38	39	61	79	42
Floette	54	45	47	75	98	52
Florges	78	65	68	112	154	75
Skiddo	66	65	48	62	57	52
Gogoat	123	100	62	97	81	68
Pancham	67	82	62	46	48	43
Pangoro	95	124	78	69	71	58
Furfrou	75	80	60	65	90	102
Espurr	62	48	54	63	60	68
Meowstic	74	48	76	83	81	104
Honedge	45	80	100	35	37	28
Doublade	59	110	150	45	49	35
Aegislash (Shield Forme)	60	50	150	50	150	60
Aegislash (Blade Forme)	60	150	50	150	50	60
Spritzee	78	52	60	63	65	23
Aromatisse	101	72	72	99	89	29
Swirlix	62	48	66	59	57	49
Slurpuff	82	80	86	85	75	72
Inkay	53	54	53	37	46	45
Malamar	86	92	88	68	75	73
Binacle	42	52	67	39	56	50
Barbaracle	72	105	115	54	86	68
Skrelp	50	60	60	60	60	30
Dragalge	65	75	90	97	123	44
Clauncher	50	53	62	58	63	44
Clawitzer	71	73	88	120	89	59
Helioptile	44	38	33	61	43	70
Heliolisk	62	55	52	109	94	109
Tyrunt	58	89	77	45	45	48
Tyrantrum	82	121	119	69	59	71
Amaura	77	59	50	67	63	46
Aurorus	123	77	72	99	92	58
Sylveon	95	65	65	110	130	60
Hawlucha	78	92	75	74	63	118
Dedenne	67	58	57	81	67	101
Carbink	50	50	150	50	150	50
Goomy	45	50	35	55	75	40
Sliggoo	68	75	53	83	113	60
Goodra	90	100	70	110	150	80
Klefki	57	80	91	80	87	75
Phantump	43	70	48	50	60	38
Trevenant	85	110	76	65	82	56
Pumpkaboo (Small Size)	44	66	70	44	55	56
Pumpkaboo (Average Size)	49	66	70	44	55	51
Pumpkaboo (Large Size)	54	66	70	44	55	46
Pumpkaboo (Super Size)	59	66	70	44	55	41
Gourgeist (Small Size)	55	85	122	58	75	99
Gourgeist (Average Size)	65	90	122	58	75	84
Gourgeist (Large Size)	75	95	122	58	75	69
Gourgeist (Super Size)	85	100	122	58	75	54
Bergmite	55	69	85	32	35	28
Avalugg	95	117	184	44	46	28
Noibat	40	30	35	45	40	55
Noivern	85	70	80	97	80	123
Xerneas	126	131	95	131	98	99
Yveltal	126	131	95	131	98	99
Zygarde (50% Forme)	108	100	121	81	95	95
Zygarde (10% Forme)	54	100	71	61	85	115
Zygarde (Complete Forme)	216	100	121	91	95	85
Diancie	50	100	150	100	150	50
Diancie (Mega Diancie)	50	160	110	160	110	110
Hoopa (Hoopa Confined)	80	110	60	150	130	70
Hoopa (Hoopa Unbound)	80	160	60	170	130	80
Volcanion	80	110	120	130	90	70
Rowlet	68	55	55	50	50	42
Dartrix	78	75	75	70	70	52
Decidueye	78	107	75	100	100	70
Litten	45	65	40	60	40	70
Torracat	65	85	50	80	50	90
Incineroar	95	115	90	80	90	60
Popplio	50	54	54	66	56	40
Brionne	60	69	69	91	81	50
Primarina	80	74	74	126	116	60
Pikipek	35	75	30	30	30	65
Trumbeak	55	85	50	40	50	75
Toucannon	80	120	75	75	75	60
Yungoos	48	70	30	30	30	45
Gumshoos	88	110	60	55	60	45
Grubbin	47	62	45	55	45	46
Charjabug	57	82	95	55	75	36
Vikavolt	77	70	90	145	75	43
Crabrawler	47	82	57	42	47	63
Crabominable	97	132	77	62	67	43
Oricorio	75	70	70	98	70	93
Cutiefly	40	45	40	55	40	84
Ribombee	60	55	60	95	70	124
Rockruff	45	65	40	30	40	60
Lycanroc (Midday Form)	75	115	65	55	65	112
Lycanroc (Midnight Form)	85	115	75	55	75	82
Lycanroc (Dusk Form)	75	117	65	55	65	110
Wishiwashi (Solo Form)	45	20	20	25	25	40
Wishiwashi (School Form)	45	140	130	140	135	30
Mareanie	50	53	62	43	52	45
Toxapex	50	63	152	53	142	35
Mudbray	70	100	70	45	55	45
Mudsdale	100	125	100	55	85	35
Dewpider	38	40	52	40	72	27
Araquanid	68	70	92	50	132	42
Fomantis	40	55	35	50	35	35
Lurantis	70	105	90	80	90	45
Morelull	40	35	55	65	75	15
Shiinotic	60	45	80	90	100	30
Salandit	48	44	40	71	40	77
Salazzle	68	64	60	111	60	117
Stufful	70	75	50	45	50	50
Bewear	120	125	80	55	60	60
Bounsweet	42	30	38	30	38	32
Steenee	52	40	48	40	48	62
Tsareena	72	120	98	50	98	72
Comfey	51	52	90	82	110	100
Oranguru	90	60	80	90	110	60
Passimian	100	120	90	40	60	80
Wimpod	25	35	40	20	30	80
Golisopod	75	125	140	60	90	40
Sandygast	55	55	80	70	45	15
Palossand	85	75	110	100	75	35
Pyukumuku	55	60	130	30	130	5
Type: Null	95	95	95	95	95	59
Silvally	95	95	95	95	95	95
Minior (Meteor Form)	60	60	100	60	100	60
Minior (Core Form)	60	100	60	100	60	120
Komala	65	115	65	75	95	65
Turtonator	60	78	135	91	85	36
Togedemaru	65	98	63	40	73	96
Mimikyu	55	90	80	50	105	96
Bruxish	68	105	70	70	70	92
Drampa	78	60	85	135	91	36
Dhelmise	70	131	100	86	90	40
Jangmo-o	45	55	65	45	45	45
Hakamo-o	55	75	90	65	70	65
Kommo-o	75	110	125	100	105	85
Tapu Koko	70	115	85	95	75	130
Tapu Lele	70	85	75	130	115	95
Tapu Bulu	70	130	115	85	95	75
Tapu Fini	70	75	115	95	130	85
Cosmog	43	29	31	29	31	37
Cosmoem	43	29	131	29	131	37
Solgaleo	137	137	107	113	89	97
Lunala	137	113	89	137	107	97
Nihilego	109	53	47	127	131	103
Buzzwole	107	139	139	53	53	79
Pheromosa	71	137	37	137	37	151
Xurkitree	83	89	71	173	71	83
Celesteela	97	101	103	107	101	61
Kartana	59	181	131	59	31	109
Guzzlord	223	101	53	97	53	43
Necrozma	97	107	101	127	89	79
Necrozma (Dusk Mane)	97	157	127	113	109	77
Necrozma (Dawn Wings)	97	113	109	157	127	77
Necrozma (Ultra Necrozma)	97	167	97	167	97	129
Magearna	80	95	115	130	115	65
Marshadow	90	125	80	90	90	125
Poipole	67	73	67	73	67	73
Naganadel	73	73	73	127	73	121
Stakataka	61	131	211	53	101	13
Blacephalon	53	127	53	151	79	107
Zeraora	88	112	75	102	80	143
